Neuquen;Parque Nacional Los Arrayanes;1971;Región Patagonia Norte;1796;-40.82941;-71.62874;Ley Nacional 19.292/71;Bosques Patagónicos;Reserva de Biósfera;416;154;0;108;154
Neuquen;Parque Nacional Lanín;1937;Región Patagonia Norte;412000;-39.85001;-71.43103;Decreto Nacional 105.433/37;Bosques Patagónicos;Reserva de Biósfera;1316;462;7;130;716
Neuquen;Parque Nacional Laguna Blanca;1940;Región Patagonia Norte;11250;-39.03034;-70.35218;Decreto-Ley Nacional 63.601/40;Estepa Patagónica;Sitio RAMSAR;663;236;1;0;426
Rio Negro;Parque Nacional Nahuel Huapi;1934;Región Patagonia Norte;717261;-40.95411;-71.53639;Ley Nacional 12103/34;Bosques Patagónicos, Estepa Patagónica;Reserva de Biósfera;3002;732;150;716;1403
Rio Negro;Parque Nacional Islote Lobos;2022;Región Patagonia Norte;19079.2;-41.43785;-65.06369;Ley Nacional 27.670;;-;159;159;0;0;0
Salta;Parque Nacional Baritú;1974;Región Noroeste;72439;-22.58199;-64.64422;Ley Nacional 20.656/74;Yungas;Reserva de Biósfera;1500;793;0;80;627
Salta;Parque Nacional Los Cardones;1996;Región Noroeste;64117;-25.27733;-65.93186;Ley Nacional 24.737/96;Altos Andes, Monte de Sierras y Bolsones, Puna, Yungas;-;1135;424;0;73;638
Salta;Reserva Nacional Pizarro;2015;Región Noroeste;7837;-24.17;-64.06249;Ley Nacional 27.093/15;Chaco Seco, Yungas;-;721;515;0;0;206
Salta;Reserva Nacional El Nogalar de los Toldos;2006;Región Noroeste;3275;-22.26581;-64.75309;Ley Nacional 26.129/06;Yungas;Reserva de Biósfera;435;290;0;29;116
Salta;Parque Nacional El Rey;1948;Región Noroeste;44162;-24.70046;-64.62734;Decreto Nacional 18.800/48;Yungas;-;1973;793;18;34;1032
San Juan;Parque Nacional El Leoncito;2002;Región Centro;89706;-31.88935;-69.26514;Ley Nacional 25.656/02;Altos Andes, Monte de Sierras y Bolsones, Puna;-;758;171;6;9;572
San Juan;Parque Nacional San Guillermo;1999;Región Centro;166000;-29.23817;-69.26616;Ley Nacional 25.077/99;Altos Andes, Monte de Sierras y Bolsones, Puna;Reserva de Biósfera, Sitio de Patrimonio Mundial;582;143;6;9;424
San Luis;Parque Nacional Sierra de las Quijadas;1991;Región Centro;73785;-32.55677;-67.13459;Ley Nacional 24.015/91;Chaco Seco, Monte de Sierras y Bolsones;Sitio RAMSAR;777;378;0;6;393
Santa Cruz;Parque Nacional Bosques Petrificados de Jaramillo;1954;Región Patagonia Austral;78543;-47.69349;-68.06604;Decreto Nacional 7.252/54 - Ley Nacional 26.825/12;Estepa Patagónica;-;362;160;0;0;202
Santa Cruz;Parque Nacional Los Glaciares;1937;Región Patagonia Austral;731932;-49.9469;-73.15797;Decreto Nacional 105.433/37;Bosques Patagónicos, Estepa Patagónica;Sitio de Patrimonio Mundial;979;217;3;21;738
